symbol,Enterprise Value,Market cap,Beta,Debt to Equity,Return on Equity,Free Cash Flow,Operating Cash Flow
MMM,83424100352,81364418560,1.001,295.441,1.1329399,,
AOS,9924186112,9447875584,1.169,7.471,0.29544002,,
ABT,210057101312,223866765312,0.722,37.589,0.14840001,,
ABBV,374475194368,336816898048,0.613,1174.815,0.56407,,
ACN,217196363776,241422778368,1.245,14.127,0.26674998,,
ADBE,240642179072,188515368960,1.299,41.788,0.35355,,
AMD,191619481600,174298824704,1.706,3.927,0.03262,,
AES,40938557440,7515555328,1.09,352.879,-0.02549,,
AFL,62888644608,56965275648,0.958,50.141,0.16038,,
A,39979700224,41426960384,1.072,52.787,0.24658,,
APD,87717486592,69065449472,0.826,79.822,0.2258,,
ABNB,75337678848,84331716608,1.156,26.614,0.20873,,
AKAM,17919657984,14968619008,0.678,96.999,0.11541,,
ALB,13621524480,9094070272,1.551,35.334,-0.17662,,
ARE,35024240640,16609907712,1.176,58.757,0.02132,,
ALGN,15237604352,15718211584,1.65,3.235,0.11401,,
ALLE,12866629632,11186931712,1.123,162.864,0.40822,,
LNT,25111955456,15259942912,0.574,153.258,0.096540004,,
ALL,53352714240,50413600768,0.481,38.833,0.23783001,,
GOOGL,2462356602880,2269191602176,1.034,9.324,0.32101002,,
